Method,Mode,gov_report,hotpotqa,lcc,qasper,Average,Avg Latency (s),Throughput (tok/s),TFLOPs
Full Precision,baseline,32.87,42.77,55.86,32.99,41.12,7.73,15.6,169.6
SnapKV,static,30.52,42.31,55.98,33.38,40.55,6.02,14.6,169.9
Quest,static,31.18,41.39,55.63,33.11,40.33,5.40,17.2,170.2
ClusterAttn (snapkv),static,30.30,42.69,55.82,33.19,40.50,7.86,13.9,170.5
ClusterAttn + Quest bounds,static,30.52,42.17,55.58,33.53,40.45,5.55,17.3,170.3
ClusterAttn + SnapKV,static,30.30,42.69,55.82,33.19,40.50,7.83,13.4,170.5
ClusterAttn + H2O,static,29.98,40.33,55.86,32.27,39.61,5.57,17.1,169.7
ClusterAttn + Recon,static,30.48,42.10,56.21,33.47,40.56,5.37,18.2,169.6
ClusterAttn + Exp. Attn,static,30.16,42.12,55.78,32.48,40.13,5.30,16.8,169.8
ClusterAttn + Random,static,22.13,23.45,54.88,28.90,32.34,8.31,15.9,170.6
PageKV + Quest bounds,static,31.18,41.39,55.63,33.11,40.33,5.57,16.8,170.2
PageKV + SnapKV,static,30.91,42.40,55.68,32.93,40.48,6.92,14.4,170.5
PageKV + H2O,static,29.92,42.64,55.63,32.47,40.16,4.97,18.7,170.5
PageKV + Recon,static,29.45,37.78,56.01,30.24,38.37,8.02,15.0,170.6
PageKV + Exp. Attn,static,29.45,42.32,55.56,32.05,39.84,4.86,17.3,169.7
PageKV + Random,static,24.02,28.36,54.52,31.14,34.51,7.56,17.4,170.6
TokenKV + Quest bounds,static,29.76,41.91,55.82,32.97,40.12,6.87,14.3,170.3
TokenKV + SnapKV,static,30.34,42.52,55.79,33.01,40.41,6.65,17.1,170.5
TokenKV + H2O,static,30.03,40.08,55.86,32.27,39.56,4.82,19.5,169.7
TokenKV + Recon,static,30.48,42.10,56.21,33.47,40.56,5.40,17.6,169.6
TokenKV + Exp. Attn,static,30.51,41.95,55.91,32.98,40.34,5.09,18.6,170.2
TokenKV + Random,static,22.13,23.45,54.88,28.90,32.34,6.89,16.8,170.6
ClusterAttn + Quest bounds (dyn),dynamic,—,41.21,53.82,23.70,39.58,10.42,2.6,125.7
ClusterAttn + H2O (dyn),dynamic,13.60,35.15,52.78,17.69,29.80,15.70,3.0,125.7
ClusterAttn + Exp. Attn (dyn),dynamic,timed out,timed out,timed out,timed out,timed out,timed out,timed out,timed out
ClusterAttn + Random (dyn),dynamic,—,24.84,54.31,30.75,36.63,7.02,4.1,125.7
PageKV + Quest bounds (dyn),dynamic,23.63,40.35,55.44,31.57,37.75,2.63,8.6,125.7
PageKV + H2O (dyn),dynamic,16.29,38.81,54.63,29.88,34.90,2.66,5.8,187.3
PageKV + Exp. Attn (dyn),dynamic,timed out,timed out,timed out,timed out,timed out,timed out,timed out,timed out
PageKV + Random (dyn),dynamic,14.22,38.46,53.63,27.39,33.42,2.36,10.5,125.7
TokenKV + Quest bounds (dyn),dynamic,29.91,41.91,55.59,33.22,40.16,2.40,9.0,125.7
TokenKV + H2O (dyn),dynamic,28.62,39.83,55.56,32.26,39.07,2.52,9.1,125.8
TokenKV + Exp. Attn (dyn),dynamic,timed out,timed out,timed out,timed out,timed out,timed out,timed out,timed out
TokenKV + Random (dyn),dynamic,20.83,24.84,54.31,30.75,32.68,2.66,10.8,125.7
