Method,gov_report,hotpotqa,lcc,qasper,Average,Peak GPU (GB),KV Cache (MB),Avg Latency (s),Avg Prefill Latency (s),Avg Decode Latency (s),Max Prefill Latency (s),Max Decode Latency (s),Throughput (tok/s),Profiled TFLOPs,Profiled TFLOPs/s
clusterattn_quest_bounds_dynamic,,41.21,53.82,23.7,39.58,33.41,19883.6,10.424,0.996,9.427,2.159,183.146,2.59,125.675054,1.055184
clusterattn_h2o_dynamic,13.6,35.15,52.78,17.69,29.8,33.41,19883.9,15.704,1.006,14.698,2.528,120.25,3.03,125.705012,1.344334
clusterattn_expected_attention_dynamic,,,,,,,,,,,,,,,
clusterattn_random_dynamic,,24.84,54.31,30.75,36.63,33.4,19880.7,7.021,0.979,6.042,2.407,140.844,4.11,125.675063,1.561787
pagekv_quest_bounds_dynamic,23.63,40.35,55.44,31.57,37.75,33.4,19876.2,2.628,0.857,1.772,2.038,30.852,8.63,125.675068,7.390223
pagekv_h2o_dynamic,16.29,38.81,54.63,29.88,34.9,30.98,17403.6,2.664,1.228,1.436,1.91,17.598,5.77,187.252758,11.94751
pagekv_expected_attention_dynamic,,,,,,,,,,,,,,,
pagekv_random_dynamic,14.22,38.46,53.63,27.39,33.42,33.4,19879.4,2.362,0.84,1.522,1.906,23.451,10.53,125.675063,7.759915
tokenkv_quest_bounds_dynamic,29.91,41.91,55.59,33.22,40.16,33.4,19881.4,2.403,0.828,1.575,1.907,28.442,8.96,125.697974,7.513029
tokenkv_h2o_dynamic,28.62,39.83,55.56,32.26,39.07,33.4,19881.5,2.524,0.846,1.678,1.924,29.005,9.12,125.84253,7.723757
tokenkv_expected_attention_dynamic,,,,,,,,,,,,,,,
tokenkv_random_dynamic,20.83,24.84,54.31,30.75,32.68,33.4,19880.7,2.663,0.829,1.834,1.819,25.454,10.84,125.675063,8.507744
